epoch,batch,batch_time(s),phase
0,0,25.97974967956543,0
0,1,26.016987562179565,0
0,2,26.434223175048828,0
0,3,25.707898139953613,0
0,4,25.592376947402954,0
0,5,25.641662120819092,0
0,6,25.612364053726196,0
0,7,25.624063968658447,0
0,8,25.59170889854431,0
0,9,25.61215043067932,0
0,10,25.659881114959717,0
0,11,25.602733612060547,0
0,12,25.582090616226196,0
0,13,25.57782530784607,0
0,14,25.588940382003784,0
0,15,26.890095233917236,0
0,16,25.96739172935486,0
0,17,25.992387533187866,0
0,18,25.974254369735718,0
0,19,26.030677795410156,0
0,20,25.945650577545166,0
0,21,26.011960983276367,0
0,22,26.063606023788452,0
0,23,26.003613233566284,0
0,24,25.948352575302124,0
0,25,25.999775648117065,0
0,26,25.958844900131226,0
0,27,25.923755645751953,0
0,28,25.911036729812622,0
0,29,25.931496143341064,0
0,30,25.92452597618103,0
0,31,25.937299013137817,0
0,32,25.98148512840271,0
0,33,25.93638277053833,0
0,34,25.97102427482605,0
0,35,26.24187994003296,0
0,36,25.813348531723022,0
0,37,28.486212253570557,0
0,38,26.560310125350952,0
0,39,26.28834867477417,0
0,40,26.131183624267578,0
0,41,25.964827299118042,0
0,42,25.95130205154419,0
0,43,25.976703643798828,0
0,44,26.128053903579712,0
0,45,25.938252210617065,0
0,46,26.344396114349365,0
0,47,26.06797432899475,0
0,48,26.12481117248535,0
0,49,25.94353151321411,0
0,0,10.170339345932007,1
0,1,10.180047512054443,1
0,2,10.138071060180664,1
0,3,10.140172243118286,1
0,4,10.131443977355957,1
0,5,10.149299383163452,1
0,6,10.131603240966797,1
0,7,10.128167390823364,1
0,8,10.144147634506226,1
0,9,11.475605964660645,1
1,0,26.219234943389893,0
1,1,26.13694739341736,0
1,2,26.09244394302368,0
1,3,26.08737587928772,0
1,4,26.26020383834839,0
1,5,26.152908325195312,0
1,6,26.047821521759033,0
1,7,26.072100162506104,0
1,8,26.055734395980835,0
1,9,26.03026795387268,0
1,10,26.059080362319946,0
1,11,26.061147212982178,0
1,12,26.06466245651245,0
1,13,26.023404836654663,0
1,14,26.064533710479736,0
1,15,26.116034746170044,0
1,16,26.03788685798645,0
1,17,26.046834707260132,0
1,18,26.05480933189392,0
1,19,26.033198595046997,0
1,20,26.058653831481934,0
1,21,26.012874364852905,0
1,22,26.02718734741211,0
1,23,26.02986741065979,0
1,24,26.032102823257446,0
1,25,26.54739499092102,0
1,26,25.766905307769775,0
1,27,25.665982723236084,0
1,28,25.724255084991455,0
1,29,25.64842653274536,0
1,30,25.672175407409668,0
1,31,25.74284791946411,0
1,32,25.66818356513977,0
1,33,25.658357858657837,0
1,34,25.65908145904541,0
1,35,25.690113306045532,0
1,36,25.690621376037598,0
1,37,25.67587447166443,0
1,38,25.672228574752808,0
1,39,25.664124488830566,0
1,40,25.67150330543518,0
1,41,26.399369478225708,0
1,42,26.178956747055054,0
1,43,26.011460304260254,0
1,44,26.034639596939087,0
1,45,25.982478380203247,0
1,46,26.151599645614624,0
1,47,26.115487813949585,0
1,48,26.13817596435547,0
1,49,26.124779224395752,0
